Repo,Org,Language,Dep Count,Top 25 Dependencies
nostr-doctor,marmot-protocol,TypeScript,33.0,"typescript, tailwindcss, @types/node, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, lucide-react, @eslint/js, eslint-plugin-react-hooks, globals, typescript-eslint, eslint-plugin-react-refresh, prettier, @tailwindcss/vite, applesauce-common, applesauce-core, rxjs, @vitejs/plugin-react, applesauce-accounts, applesauce-loaders, applesauce-relay"
npubcash-website,cashubtc,TypeScript,32.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, autoprefixer, postcss, eslint-plugin-react-hooks, react-router-dom, eslint-plugin-react-refresh, @cashu/cashu-ts, @typescript-eslint/eslint-plugin, @noble/hashes, @typescript-eslint/parser, react-qr-code, @vitejs/plugin-react, framer-motion, light-bolt11-decoder, @gandlaf21/bc-ur, localforage"
botburrow,marmot-protocol,Ruby,30.0,"bcrypt, debug, rails, propshaft, sqlite3, puma, importmap-rails, turbo-rails, stimulus-rails, jbuilder, rqrcode, fugit, tailwindcss-rails, tzinfo-data, solid_cache, solid_queue, solid_cable, bootsnap, kamal, thruster, image_processing, bundler-audit, brakeman, rubocop-rails-omakase, web-console"
transponder,marmot-protocol,Rust,29.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, tokio, hex, anyhow, tempfile, nostr-sdk, clap, secp256k1, axum, prometheus, sha2, reqwest, jsonwebtoken, config, toml, chacha20poly1305, hkdf, zeroize, base64, lru, tokio-test"
npubcash-server,cashubtc,TypeScript,28.0,"typescript, @types/node, nostr-tools, vitest, @cashu/cashu-ts, dotenv, ws, express, jsonwebtoken, light-bolt11-decoder, compression, cors, graphql, pg, @types/compression, @types/express, @types/supertest, @vitest/coverage-v8, esbuild, nodemon, supertest, graphql-request, node-pg-migrate, @jest/globals, @types/cors"
pensieve,andotherstuff,Rust,27.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, tokio, hex, anyhow, chrono, nostr-sdk, prost, nostr, axum, rusqlite, tower, tower-http, metrics, metrics-exporter-prometheus, clickhouse, parking_lot, notepack, rocksdb, aws-config, aws-sdk-s3, crossbeam-channel"
funnel,andotherstuff,Rust,24.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, tokio, anyhow, chrono, nostr, axum, tower, tower-http, metrics, metrics-exporter-prometheus, clickhouse, tokio-test, wiremock, axum-test, mockall, testcontainers, testcontainers-modules, funnel-proto, funnel-clickhouse, funnel-observability"
whitenoise-web,marmot-protocol,Svelte,24.0,"typescript, tailwindcss, nostr-tools, vite, vitest, applesauce-common, applesauce-core, rxjs, ws, @tailwindcss/vite, applesauce-loaders, applesauce-relay, marked, @types/ws, @biomejs/biome, @sveltejs/adapter-auto, @sveltejs/adapter-vercel, @sveltejs/kit, @sveltejs/vite-plugin-svelte, svelte, svelte-check, carbon-icons-svelte, sanitize-html, @types/sanitize-html"
heynow,andotherstuff,TypeScript,21.0,"typescript, tailwindcss, nostr-tools, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, react-router-dom, @nostrify/nostrify, @tanstack/react-query, @vitejs/plugin-react-swc, @nostrify/react, date-fns, audio-recorder-polyfill, @vitejs/plugin-basic-ssl"
marmot-ts,marmot-protocol,TypeScript,19.0,"typescript, @types/node, vitest, prettier, @noble/hashes, applesauce-common, applesauce-core, @noble/curves, @changesets/cli, applesauce-accounts, husky, @scure/base, debug, ts-mls, @hpke/core, @noble/ciphers, eventemitter3, @types/debug, rimraf"
get-nostr,andotherstuff,TypeScript,18.0,"typescript, tailwindcss, nostr-tools, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, class-variance-authority, tailwindcss-animate, @vitejs/plugin-react-swc, @radix-ui/react-collapsible, @radix-ui/react-slot"
proton-beam,marmot-protocol,Rust,18.0,"serde, serde_json, thiserror, tracing, tracing-subscriber, tokio, anyhow, tempfile, nostr-sdk, clap, chrono, prost, rusqlite, indicatif, toml, regex, flate2, prost-types"
groups_relay,andotherstuff,Rust,17.0,"serde, serde_json, tracing, tracing-subscriber, tokio, anyhow, clap, nostr-sdk, rand, futures, nostr, async-trait, metrics, metrics-exporter-prometheus, tokio-tungstenite, futures-util, tokio-util"
cashu-crypto-ts,cashubtc,TypeScript,17.0,"typescript, eslint, prettier, @typescript-eslint/eslint-plugin, @noble/hashes, buffer, eslint-plugin-import, ts-node, eslint-plugin-promise, @noble/curves, @types/jest, eslint-plugin-n, jest, ts-jest, @scure/bip32, ts-jest-resolver, typedoc"
binostr,andotherstuff,Rust,16.0,"serde, serde_json, thiserror, hex, rand, prost, toml, ciborium, flate2, notepack, criterion, serde_bytes, capnp, zstd, prost-build, capnpc"
nut-november,cashubtc,TypeScript,16.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, react-dom, @types/react, @types/react-dom, react-qr-code, next, eslint-config-next, @flydotio/dockerfile, matter-js, @tailwindcss/postcss, @types/matter-js"
nostr-openmls,marmot-protocol,Rust,16.0,"serde, thiserror, tracing, hex, tempfile, rand, openmls_traits, openmls, openmls_basic_credential, openmls_rust_crypto, tls_codec, openmls-sled-storage, bincode, p256, ed25519-dalek, libc"
